Bin: [-0.6141, -0.0524]
Bin: [-0.0524, -0.0391]
Bin: [-0.0391, -0.0333]
Bin: [-0.0333, -0.0299]
Bin: [-0.0299, -0.0274]
Bin: [-0.0274, -0.0255]
Bin: [-0.0255, -0.0240]
Bin: [-0.0240, -0.0227]
Bin: [-0.0227, -0.0216]
Bin: [-0.0216, -0.0206]
Bin: [-0.0206, -0.0197]
Bin: [-0.0197, -0.0189]
Bin: [-0.0189, -0.0181]
Bin: [-0.0181, -0.0174]
Bin: [-0.0174, -0.0168]
Bin: [-0.0168, -0.0162]
Bin: [-0.0162, -0.0156]
Bin: [-0.0156, -0.0151]
Bin: [-0.0151, -0.0146]
Bin: [-0.0146, -0.0141]
Bin: [-0.0141, -0.0137]
Bin: [-0.0137, -0.0132]
Bin: [-0.0132, -0.0128]
Bin: [-0.0128, -0.0124]
Bin: [-0.0124, -0.0120]
Bin: [-0.0120, -0.0117]
Bin: [-0.0117, -0.0113]
Bin: [-0.0113, -0.0110]
Bin: [-0.0110, -0.0107]
Bin: [-0.0107, -0.0103]
Bin: [-0.0103, -0.0100]
Bin: [-0.0100, -0.0097]
Bin: [-0.0097, -0.0094]
Bin: [-0.0094, -0.0091]
Bin: [-0.0091, -0.0088]
Bin: [-0.0088, -0.0085]
Bin: [-0.0085, -0.0082]
Bin: [-0.0082, -0.0079]
Bin: [-0.0079, -0.0076]
Bin: [-0.0076, -0.0074]
Bin: [-0.0074, -0.0071]
Bin: [-0.0071, -0.0068]
Bin: [-0.0068, -0.0065]
Bin: [-0.0065, -0.0063]
Bin: [-0.0063, -0.0060]
Bin: [-0.0060, -0.0058]
Bin: [-0.0058, -0.0055]
Bin: [-0.0055, -0.0052]
Bin: [-0.0052, -0.0050]
Bin: [-0.0050, -0.0047]
Bin: [-0.0047, -0.0044]
Bin: [-0.0044, -0.0042]
Bin: [-0.0042, -0.0039]
Bin: [-0.0039, -0.0037]
Bin: [-0.0037, -0.0034]
Bin: [-0.0034, -0.0032]
Bin: [-0.0032, -0.0029]
Bin: [-0.0029, -0.0027]
Bin: [-0.0027, -0.0024]
Bin: [-0.0024, -0.0022]
Bin: [-0.0022, -0.0019]
Bin: [-0.0019, -0.0017]
Bin: [-0.0017, -0.0014]
Bin: [-0.0014, -0.0012]
Bin: [-0.0012, -0.0009]
Bin: [-0.0009, -0.0007]
Bin: [-0.0007, -0.0004]
Bin: [-0.0004, -0.0002]
Bin: [-0.0002, 0.0001]
Bin: [0.0001, 0.0003]
Bin: [0.0003, 0.0006]
Bin: [0.0006, 0.0008]
Bin: [0.0008, 0.0011]
Bin: [0.0011, 0.0013]
Bin: [0.0013, 0.0016]
Bin: [0.0016, 0.0018]
Bin: [0.0018, 0.0021]
Bin: [0.0021, 0.0024]
Bin: [0.0024, 0.0026]
Bin: [0.0026, 0.0029]
Bin: [0.0029, 0.0031]
Bin: [0.0031, 0.0034]
Bin: [0.0034, 0.0037]
Bin: [0.0037, 0.0039]
Bin: [0.0039, 0.0042]
Bin: [0.0042, 0.0045]
Bin: [0.0045, 0.0047]
Bin: [0.0047, 0.0050]
Bin: [0.0050, 0.0053]
Bin: [0.0053, 0.0056]
Bin: [0.0056, 0.0059]
Bin: [0.0059, 0.0062]
Bin: [0.0062, 0.0065]
Bin: [0.0065, 0.0068]
Bin: [0.0068, 0.0071]
Bin: [0.0071, 0.0074]
Bin: [0.0074, 0.0077]
Bin: [0.0077, 0.0080]
Bin: [0.0080, 0.0083]
Bin: [0.0083, 0.0087]
Bin: [0.0087, 0.0090]
Bin: [0.0090, 0.0093]
Bin: [0.0093, 0.0097]
Bin: [0.0097, 0.0101]
Bin: [0.0101, 0.0105]
Bin: [0.0105, 0.0108]
Bin: [0.0108, 0.0113]
Bin: [0.0113, 0.0117]
Bin: [0.0117, 0.0122]
Bin: [0.0122, 0.0127]
Bin: [0.0127, 0.0132]
Bin: [0.0132, 0.0137]
Bin: [0.0137, 0.0143]
Bin: [0.0143, 0.0150]
Bin: [0.0150, 0.0156]
Bin: [0.0156, 0.0164]
Bin: [0.0164, 0.0172]
Bin: [0.0172, 0.0181]
Bin: [0.0181, 0.0191]
Bin: [0.0191, 0.0202]
Bin: [0.0202, 0.0214]
Bin: [0.0214, 0.0229]
Bin: [0.0229, 0.0248]
Bin: [0.0248, 0.0270]
Bin: [0.0270, 0.0301]
Bin: [0.0301, 0.0350]
Bin: [0.0350, 0.0454]
Bin: [0.0454, 1.5762]
